Year,State,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
2023,Alabama,0-17 years,0.0,250.0,0.0,0.0,0.0,0.0
2023,Alabama,18-29 years,0.0,442.0,12.0,0.0,0.0,14.0
2023,Alabama,30-49 years,15.0,1868.0,72.0,0.0,0.0,88.0
2023,Alabama,50-74 years,220.0,9784.0,598.0,72.0,0.0,756.0
2023,Alabama,75+ years,400.0,12500.0,778.0,137.0,12.0,1055.0
2023,Arizona,0-17 years,0.0,360.0,14.0,0.0,0.0,19.0
2023,Arizona,18-29 years,0.0,680.0,18.0,0.0,0.0,18.0
2023,Arizona,30-49 years,12.0,2305.0,110.0,0.0,0.0,123.0
2023,Arizona,50-74 years,242.0,10927.0,762.0,110.0,10.0,911.0
2023,Arizona,75+ years,539.0,17558.0,1063.0,250.0,13.0,1373.0
2023,Arkansas,0-17 years,0.0,180.0,0.0,0.0,0.0,0.0
2023,Arkansas,18-29 years,0.0,236.0,0.0,0.0,0.0,0.0
2023,Arkansas,30-49 years,0.0,1031.0,37.0,0.0,0.0,44.0
2023,Arkansas,50-74 years,130.0,6139.0,393.0,45.0,0.0,492.0
2023,Arkansas,75+ years,263.0,7992.0,620.0,91.0,0.0,800.0
2023,California,0-17 years,0.0,1226.0,27.0,0.0,0.0,34.0
2023,California,18-29 years,12.0,2427.0,50.0,0.0,0.0,62.0
2023,California,30-49 years,104.0,9089.0,367.0,23.0,0.0,448.0
2023,California,50-74 years,1006.0,43554.0,3147.0,407.0,63.0,3800.0
2023,California,75+ years,2523.0,75067.0,6068.0,1067.0,106.0,7620.0
2023,Colorado,0-17 years,0.0,234.0,11.0,0.0,0.0,13.0
2023,Colorado,18-29 years,0.0,464.0,0.0,0.0,0.0,12.0
2023,Colorado,30-49 years,0.0,1565.0,43.0,0.0,0.0,59.0
2023,Colorado,50-74 years,136.0,6908.0,404.0,56.0,25.0,509.0
2023,Colorado,75+ years,383.0,10837.0,642.0,141.0,29.0,912.0
2023,Connecticut,0-17 years,0.0,97.0,0.0,0.0,0.0,0.0
2023,Connecticut,18-29 years,0.0,151.0,0.0,0.0,0.0,0.0
