Year,State,Sex,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
2021,Alabama,Female,4493.0,31882.0,2921.0,1678.0,17.0,5750.0
2021,Alabama,Male,5226.0,35441.0,3435.0,1926.0,19.0,6746.0
2021,Arizona,Female,5753.0,36616.0,4910.0,3398.0,0.0,7270.0
2021,Arizona,Male,8307.0,45860.0,7059.0,5126.0,12.0,10248.0
2021,Arkansas,Female,2378.0,18625.0,2094.0,1249.0,0.0,3228.0
2021,Arkansas,Male,2958.0,21409.0,2694.0,1621.0,0.0,4036.0
2021,California,Female,19618.0,152139.0,18769.0,11852.0,23.0,26553.0
2021,California,Male,28711.0,182465.0,27119.0,18295.0,30.0,37556.0
2021,Colorado,Female,2584.0,22312.0,2201.0,1450.0,0.0,3341.0
2021,Colorado,Male,3623.0,26823.0,3199.0,2184.0,0.0,4642.0
2021,Connecticut,Female,1468.0,16837.0,1281.0,616.0,0.0,2134.0
2021,Connecticut,Male,1685.0,17916.0,1517.0,755.0,0.0,2448.0
2021,Delaware,Female,595.0,5240.0,535.0,321.0,0.0,809.0
2021,Delaware,Male,671.0,6077.0,616.0,401.0,0.0,886.0
2021,Florida,Female,16931.0,121373.0,16879.0,11397.0,43.0,22444.0
2021,Florida,Male,21942.0,143410.0,22114.0,15227.0,44.0,28860.0
2021,Georgia,Female,7942.0,53863.0,6344.0,4454.0,25.0,9848.0
2021,Georgia,Male,9368.0,58931.0,7572.0,5361.0,22.0,11594.0
2021,Idaho,Female,1144.0,8498.0,927.0,672.0,0.0,1399.0
2021,Idaho,Male,1641.0,9864.0,1240.0,947.0,0.0,1937.0
2021,Illinois,Female,5172.0,57852.0,5398.0,3017.0,0.0,7559.0
2021,Illinois,Male,6615.0,63092.0,6808.0,4027.0,0.0,9400.0
2021,Indiana,Female,4570.0,37769.0,4153.0,2553.0,11.0,6177.0
2021,Indiana,Male,5484.0,41553.0,5362.0,3461.0,12.0,7395.0
2021,Iowa,Female,1569.0,16304.0,1353.0,640.0,0.0,2290.0
2021,Iowa,Male,1957.0,17695.0,1685.0,894.0,0.0,2755.0
2021,Kansas,Female,1678.0,14777.0,1426.0,800.0,0.0,2311.0
2021,Kansas,Male,2128.0,16265.0,1733.0,1054.0,0.0,2814.0
2021,Kentucky,Female,4013.0,28548.0,3944.0,2299.0,0.0,5665.0
2021,Kentucky,Male,4682.0,31820.0,4582.0,2782.0,10.0,6489.0
2021,Louisiana,Female,3097.0,26269.0,2553.0,1681.0,0.0,3972.0
2021,Louisiana,Male,3822.0,31228.0,3124.0,2095.0,14.0,4861.0
2021,Maine,Female,674.0,8030.0,540.0,184.0,0.0,1032.0
2021,Maine,Male,759.0,9099.0,734.0,238.0,0.0,1256.0
2021,Maryland,Female,2845.0,27768.0,2600.0,1266.0,0.0,4185.0
2021,Maryland,Male,3256.0,29702.0,3100.0,1537.0,0.0,4823.0
2021,Massachusetts,Female,2415.0,31096.0,2505.0,1167.0,15.0,3766.0
2021,Massachusetts,Male,3164.0,32859.0,3292.0,1692.0,0.0,4769.0
2021,Michigan,Female,6590.0,54844.0,5726.0,3593.0,16.0,8735.0
2021,Michigan,Male,8355.0,61205.0,7402.0,4807.0,10.0,10958.0
2021,Minnesota,Female,2208.0,24332.0,1895.0,884.0,0.0,3224.0
2021,Minnesota,Male,2973.0,27119.0,2620.0,1410.0,0.0,4189.0
2021,Mississippi,Female,2804.0,19015.0,2525.0,1506.0,20.0,3839.0
2021,Mississippi,Male,3103.0,21282.0,2917.0,1751.0,13.0,4278.0
2021,Missouri,Female,4032.0,35976.0,3616.0,2124.0,14.0,5533.0
2021,Missouri,Male,4914.0,40539.0,4296.0,2711.0,0.0,6503.0
2021,Montana,Female,763.0,5715.0,610.0,414.0,0.0,964.0
2021,Montana,Male,1053.0,7061.0,886.0,609.0,0.0,1330.0
2021,Nebraska,Female,791.0,9061.0,844.0,383.0,0.0,1254.0
