COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
1915.0,29230.0,1775.0,583.0,65.0,3165.0
2312.0,31897.0,2160.0,766.0,67.0,3767.0
2476.0,33819.0,2723.0,1236.0,81.0,4035.0
3430.0,41255.0,3650.0,1772.0,64.0,5368.0
1278.0,17868.0,1430.0,508.0,80.0,2275.0
1495.0,19758.0,1732.0,686.0,61.0,2600.0
9736.0,146303.0,12211.0,4691.0,345.0,17583.0
12660.0,169168.0,15529.0,6475.0,326.0,22018.0
1511.0,22193.0,1524.0,575.0,112.0,2565.0
1903.0,25455.0,2060.0,884.0,69.0,3145.0
1177.0,17325.0,1288.0,421.0,50.0,2092.0
1402.0,17652.0,1584.0,525.0,36.0,2493.0
379.0,5414.0,450.0,189.0,14.0,654.0
488.0,5964.0,508.0,242.0,16.0,767.0
7522.0,112848.0,9460.0,3756.0,186.0,13393.0
9374.0,129692.0,12130.0,5215.0,210.0,16480.0
3283.0,49034.0,3286.0,1411.0,106.0,5253.0
3942.0,53734.0,4015.0,1774.0,96.0,6268.0
456.0,8021.0,477.0,195.0,33.0,770.0
626.0,9059.0,583.0,286.0,39.0,959.0
3935.0,57624.0,4458.0,1820.0,145.0,6708.0
4786.0,61821.0,5200.0,2454.0,124.0,7645.0
2780.0,36501.0,3103.0,1286.0,129.0,4718.0
3250.0,39582.0,3579.0,1690.0,102.0,5232.0
1052.0,16400.0,1110.0,357.0,84.0,1885.0
1190.0,17384.0,1223.0,442.0,57.0,2024.0
1089.0,14927.0,1034.0,411.0,78.0,1784.0
1317.0,15704.0,1266.0,586.0,54.0,2046.0
2836.0,27517.0,2903.0,1177.0,151.0,4690.0
2918.0,29656.0,3313.0,1398.0,128.0,4945.0
1454.0,24561.0,1402.0,609.0,46.0,2291.0
1658.0,27930.0,1627.0,746.0,42.0,2580.0
488.0,8098.0,471.0,101.0,32.0,889.0
560.0,9044.0,705.0,155.0,26.0,1134.0
2024.0,27105.0,2122.0,717.0,66.0,3483.0
2291.0,28492.0,2399.0,860.0,52.0,3876.0
2078.0,31999.0,2170.0,722.0,122.0,3640.0
2257.0,32221.0,2614.0,969.0,87.0,3982.0
3844.0,52586.0,3738.0,1531.0,110.0,6155.0
4265.0,56398.0,4444.0,1897.0,103.0,6907.0
1561.0,24560.0,1568.0,470.0,87.0,2743.0
1800.0,26556.0,1873.0,627.0,72.0,3114.0
1578.0,17633.0,1632.0,601.0,59.0,2658.0
1612.0,19173.0,1912.0,692.0,67.0,2894.0
2544.0,35325.0,2606.0,1058.0,140.0,4220.0
2889.0,38636.0,3084.0,1390.0,120.0,4695.0
319.0,5354.0,354.0,129.0,27.0,569.0
410.0,6418.0,465.0,199.0,17.0,692.0
599.0,9117.0,633.0,209.0,44.0,1062.0
696.0,9678.0,774.0,303.0,34.0,1196.0
1124.0,14000.0,1562.0,746.0,46.0,1982.0
1589.0,18030.0,2131.0,1092.0,51.0,2674.0
376.0,6841.0,412.0,141.0,17.0,662.0
445.0,7471.0,481.0,186.0,14.0,752.0
3079.0,40143.0,2866.0,1285.0,64.0,4717.0
3489.0,40951.0,3389.0,1584.0,66.0,5355.0
855.0,10277.0,904.0,411.0,43.0,1386.0
1151.0,12568.0,1201.0,623.0,44.0,1767.0
4344.0,55157.0,4765.0,1468.0,193.0,7826.0
4741.0,56829.0,5532.0,1823.0,144.0,8588.0
3961.0,53492.0,4431.0,1838.0,164.0,6708.0
4334.0,58269.0,5027.0,2143.0,147.0,7353.0
237.0,3586.0,291.0,118.0,17.0,427.0
301.0,4156.0,421.0,156.0,15.0,579.0
5669.0,66853.0,5001.0,2400.0,208.0,8465.0
6304.0,71290.0,5898.0,2962.0,166.0,9389.0
2072.0,22193.0,2171.0,887.0,101.0,3445.0
2485.0,24426.0,2578.0,1145.0,117.0,4014.0
1249.0,20815.0,1132.0,434.0,99.0,2041.0
1550.0,23738.0,1472.0,620.0,81.0,2479.0
5468.0,72514.0,4905.0,2067.0,209.0,8496.0
6174.0,75221.0,5798.0,2688.0,179.0,9433.0
367.0,5481.0,338.0,137.0,15.0,582.0
402.0,5584.0,342.0,167.0,10.0,587.0
2093.0,28347.0,2091.0,840.0,69.0,3407.0
2479.0,31638.0,2483.0,1091.0,65.0,3927.0
289.0,4356.0,357.0,117.0,33.0,561.0
345.0,4809.0,436.0,158.0,15.0,637.0
3438.0,41859.0,3738.0,1463.0,144.0,5836.0
3782.0,46742.0,4139.0,1810.0,123.0,6223.0
8144.0,114006.0,9428.0,4021.0,314.0,13829.0
10467.0,131381.0,12138.0,5467.0,279.0,17379.0
548.0,10832.0,640.0,231.0,43.0,997.0
784.0,11935.0,858.0,359.0,30.0,1311.0
167.0,3150.0,172.0,43.0,14.0,310.0
220.0,3535.0,234.0,73.0,0.0,390.0
2759.0,39666.0,2406.0,1012.0,114.0,4263.0
3241.0,42590.0,2972.0,1389.0,77.0,4893.0
1893.0,32338.0,2351.0,928.0,124.0,3434.0
2263.0,36834.0,2928.0,1242.0,143.0,4084.0
1179.0,12794.0,1474.0,567.0,62.0,2144.0
1181.0,14216.0,1662.0,591.0,50.0,2295.0
1769.0,28838.0,1579.0,524.0,93.0,2909.0
2139.0,31443.0,1982.0,782.0,60.0,3393.0
168.0,2502.0,168.0,71.0,0.0,270.0
185.0,2953.0,212.0,94.0,12.0,315.0
