COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
9719.0,67323.0,6356.0,3604.0,36.0,12496.0
14060.0,82476.0,11969.0,8524.0,19.0,17518.0
5336.0,40034.0,4788.0,2870.0,15.0,7264.0
48329.0,334604.0,45888.0,30147.0,53.0,64109.0
6207.0,49135.0,5400.0,3634.0,13.0,7983.0
3153.0,34753.0,2798.0,1371.0,0.0,4582.0
1266.0,11317.0,1151.0,722.0,0.0,1695.0
38873.0,264783.0,38993.0,26624.0,87.0,51304.0
17310.0,112794.0,13916.0,9815.0,47.0,21442.0
2785.0,18362.0,2167.0,1619.0,0.0,3336.0
11787.0,120944.0,12206.0,7044.0,14.0,16959.0
10054.0,79322.0,9515.0,6014.0,23.0,13572.0
3526.0,33999.0,3038.0,1534.0,17.0,5045.0
3806.0,31042.0,3159.0,1854.0,14.0,5125.0
8695.0,60368.0,8526.0,5081.0,18.0,12154.0
6919.0,57497.0,5677.0,3776.0,18.0,8833.0
1433.0,17129.0,1274.0,422.0,0.0,2288.0
6101.0,57470.0,5700.0,2803.0,11.0,9008.0
5579.0,63955.0,5797.0,2859.0,21.0,8535.0
14945.0,116049.0,13128.0,8400.0,26.0,19693.0
5181.0,51451.0,4515.0,2294.0,13.0,7413.0
5907.0,40297.0,5442.0,3257.0,33.0,8117.0
8946.0,76515.0,7912.0,4835.0,22.0,12036.0
1816.0,12776.0,1496.0,1023.0,0.0,2294.0
1939.0,19100.0,1976.0,981.0,0.0,2941.0
5645.0,33946.0,5936.0,4445.0,0.0,7143.0
1204.0,13868.0,1051.0,539.0,0.0,1719.0
9605.0,83597.0,8638.0,5137.0,0.0,13112.0
3704.0,24592.0,3190.0,2201.0,0.0,4696.0
14801.0,116100.0,13477.0,6676.0,27.0,21625.0
15235.0,118941.0,14375.0,9106.0,24.0,20523.0
939.0,8105.0,1054.0,543.0,0.0,1457.0
20536.0,147565.0,16995.0,11352.0,33.0,26208.0
7850.0,49150.0,6539.0,3781.0,43.0,10641.0
4190.0,45026.0,3236.0,1892.0,0.0,5540.0
20546.0,156234.0,16368.0,10470.0,48.0,26482.0
1217.0,11631.0,1036.0,608.0,0.0,1649.0
9497.0,64285.0,6524.0,3912.0,16.0,12121.0
987.0,9407.0,1086.0,563.0,0.0,1516.0
13705.0,95189.0,12349.0,7714.0,76.0,18401.0
48787.0,271490.0,41388.0,29152.0,164.0,61138.0
2671.0,23517.0,2277.0,1437.0,0.0,3514.0
312.0,6648.0,392.0,132.0,0.0,573.0
9668.0,85048.0,7608.0,4599.0,24.0,12696.0
6165.0,68696.0,6823.0,4214.0,0.0,8778.0
3938.0,28804.0,3865.0,2261.0,0.0,5542.0
6076.0,60807.0,4675.0,2472.0,13.0,8287.0
963.0,5962.0,808.0,582.0,0.0,1191.0
