Date,State,Dose_1_Administered,Series_Completed,DSeries_Completed
2021,AL,285213479,232581292,232581292
2021,AR,186800408,153225336,153225336
2021,AZ,480335183,412258409,412258409
2021,CA,2147483648,2147483648,2147483648
2021,CO,420337472,377903748,377903748
2021,CT,305694741,268233406,268233406
2021,DE,72329342,61973075,61973075
2021,FL,1588337993,1361889772,1361889772
2021,GA,643725164,541230558,541230558
2021,IA,201968322,185891393,185891393
2021,ID,93060815,82787548,82787548
2021,IL,921888216,787713028,787713028
2021,IN,387056524,354978425,354978425
2021,KS,196150402,164806785,164806785
2021,KY,285341517,247961064,247961064
2021,LA,265720011,233909936,233909936
2021,MA,598250746,510420640,510420640
2021,MD,473369624,423902804,423902804
2021,ME,111430259,100834827,100834827
2021,MI,598694269,568106428,568106428
2021,MN,397475476,364405458,364405458
2021,MO,374425733,323742058,323742058
2021,MS,164723301,143605256,143605256
2021,MT,65231580,57334221,57334221
2021,NC,736113939,586438141,586438141
2021,ND,44743188,38247342,38247342
2021,NE,103989452,115484142,115484142
2021,NH,116323900,91463528,91463528
2021,NJ,684918497,626769415,626769415
2021,NM,162691489,140953682,140953682
2021,NV,208571645,172632579,172632579
2021,NY,1560343874,1379196734,1379196734
2021,OH,700856192,645284370,645284370
2021,OK,252741134,209914288,209914288
2021,OR,309101994,280711548,280711548
2021,PA,1055222642,808523492,808523492
2021,RI,89611170,79781423,79781423
2021,SC,317098909,271868806,271868806
2021,SD,56124404,50082897,50082897
2021,TN,397692633,346493483,346493483
2021,TX,1311465976,1128283332,1128283332
2021,UT,207929769,182854393,182854393
2021,VA,656331609,574489807,574489807
2021,VT,54015460,47491053,47491053
2021,WA,568476200,513839886,513839886
2021,WI,391872382,360055589,360055589
2021,WV,108312581,88358401,88358401
2021,WY,31585009,27053227,27053227
