State,Dose_1_Administered,Series_Completed
AL,60536012,49516997
AR,40083357,32612173
AZ,107651008,91353673
CA,636624948,560886876
CO,91606144,80462788
CT,69509686,56260875
DE,16321463,13564098
FL,336972249,283516581
GA,138055342,115637658
IA,42369096,38600917
ID,21713543,19179206
IL,190419255,171676658
IN,82415655,73876071
KS,42217036,36167919
KY,58471320,50610135
LA,55460644,48596093
MA,139932939,110380014
MD,105426434,91613458
ME,24903026,21290153
MI,117395415,118390227
MN,84495223,77338817
MO,80892757,68880180
MS,34856279,30348621
MT,13861255,12012126
NC,182867369,133651393
ND,10044705,8495565
NE,22956894,24366843
NH,22783271,18595081
NJ,152380465,133557428
NM,37640584,29970715
NV,45446239,37286787
NY,349197197,298761015
OH,146061892,134343880
OK,56123491,45478296
OR,65476236,58058676
PA,220646506,178637983
RI,21340711,17663682
SC,69474865,58603211
SD,14105300,11140885
TN,83608899,73021329
TX,421638330,348700537
UT,45873256,40662904
VA,147655001,124260044
VT,11804538,10164246
WA,123416283,110114292
WI,83149913,75473298
WV,22978483,20323377
WY,6696760,5829701
