Administered_Dose1_Recip,Series_Complete_Yes
285213479.0,232581292.0
186800408.0,153225336.0
480335183.0,412258409.0
3173245417.0,2579837270.0
420337472.0,377903748.0
305694741.0,268233406.0
72329342.0,61973075.0
1588337993.0,1361889772.0
643725164.0,541230558.0
201968322.0,185891393.0
93060815.0,82787548.0
921888216.0,787713028.0
387056524.0,354978425.0
196150402.0,164806785.0
285341517.0,247961064.0
265720011.0,233909936.0
598250746.0,510420640.0
473369624.0,423902804.0
111430259.0,100834827.0
598694269.0,568106428.0
397475476.0,364405458.0
374425733.0,323742058.0
164723301.0,143605256.0
65231580.0,57334221.0
736113939.0,586438141.0
44743188.0,38247342.0
103989452.0,115484142.0
116323900.0,91463528.0
684918497.0,626769415.0
162691489.0,140953682.0
208571645.0,172632579.0
1560343874.0,1379196734.0
700856192.0,645284370.0
252741134.0,209914288.0
309101994.0,280711548.0
1055222642.0,808523492.0
89611170.0,79781423.0
317098909.0,271868806.0
56124404.0,50082897.0
397692633.0,346493483.0
1311465976.0,1128283332.0
207929769.0,182854393.0
656331609.0,574489807.0
54015460.0,47491053.0
568476200.0,513839886.0
391872382.0,360055589.0
108312581.0,88358401.0
31585009.0,27053227.0
594964338.0,483975174.0
389868658.0,317672608.0
1026496844.0,864519801.0
6389481509.0,5478766223.0
886031293.0,782943612.0
659669498.0,546146768.0
156438549.0,129849309.0
3295824571.0,2783374737.0
1342100528.0,1122293616.0
416144386.0,378610363.0
209706214.0,185605435.0
1880896276.0,1679846014.0
802402005.0,716710852.0
417905582.0,345926829.0
572716314.0,495890561.0
548964652.0,480365795.0
1310176101.0,1054097931.0
1011394041.0,882545307.0
236346867.0,207303074.0
1226656913.0,1161663791.0
822215846.0,755020427.0
787264334.0,666052929.0
343243334.0,297866189.0
135236117.0,117521423.0
1707365468.0,1238601435.0
96665856.0,81722199.0
222911826.0,237658044.0
249971542.0,184922646.0
1480043415.0,1296805352.0
355371882.0,287828946.0
447895088.0,361393564.0
3395297668.0,2890376620.0
1440540820.0,1322153213.0
544281405.0,437442829.0
637102037.0,568983939.0
2101766676.0,1693794572.0
201504979.0,168741260.0
673445687.0,566611367.0
131112797.0,105014485.0
822162587.0,719017137.0
4073889287.0,3427586505.0
447012761.0,396222823.0
1415309097.0,1206433209.0
113578479.0,98326634.0
1192028191.0,1067448669.0
811606564.0,738475852.0
225892245.0,200017855.0
65672915.0,57281573.0
60536012.0,49516997.0
40083357.0,32612173.0
107651008.0,91353673.0
636624948.0,560886876.0
91606144.0,80462788.0
69509686.0,56260875.0
16321463.0,13564098.0
336972249.0,283516581.0
138055342.0,115637658.0
42369096.0,38600917.0
21713543.0,19179206.0
190419255.0,171676658.0
82415655.0,73876071.0
42217036.0,36167919.0
58471320.0,50610135.0
55460644.0,48596093.0
139932939.0,110380014.0
105426434.0,91613458.0
24903026.0,21290153.0
117395415.0,118390227.0
84495223.0,77338817.0
80892757.0,68880180.0
34856279.0,30348621.0
13861255.0,12012126.0
182867369.0,133651393.0
10044705.0,8495565.0
22956894.0,24366843.0
22783271.0,18595081.0
152380465.0,133557428.0
37640584.0,29970715.0
45446239.0,37286787.0
349197197.0,298761015.0
146061892.0,134343880.0
56123491.0,45478296.0
65476236.0,58058676.0
220646506.0,178637983.0
21340711.0,17663682.0
69474865.0,58603211.0
14105300.0,11140885.0
83608899.0,73021329.0
421638330.0,348700537.0
45873256.0,40662904.0
147655001.0,124260044.0
11804538.0,10164246.0
123416283.0,110114292.0
83149913.0,75473298.0
22978483.0,20323377.0
6696760.0,5829701.0
